dR2_M,dR2_OxM,unit
2.4140288023000167e-06,1.0595099209087522e-05,per36min
8.096323368544933e-05,7.102115847645862e-07,per36min
7.94763894608197e-05,8.137735392321765e-06,per36min
1.398591087986567e-05,3.51977967338879e-06,per36min
4.003121653917141e-05,5.617584433004197e-05,per36min
5.572033743561633e-05,2.061562010302609e-05,per36min
3.807141583411777e-05,5.798223325004237e-05,per36min
0.00026919451561246976,0.00025994424896369495,per36min
1.0219293973490196e-05,2.4481278196875067e-06,per36min
1.0746092615754321e-06,0.00012333529414065847,per36min
3.348768570643479e-05,6.681959995658016e-05,per36min
4.61120968437978e-05,0.00011004361441302457,per36min
5.977254619904393e-05,9.385871302614035e-06,per36min
5.413177128765767e-09,1.54723381492472e-05,per36min
7.030710571409582e-05,3.807454936444188e-06,per36min
2.423995875788787e-05,2.463697212828908e-05,per36min
4.034219162196706e-05,1.1739429575330362e-05,per36min
1.2164448582985266e-05,1.2227783046658836e-05,per36min
0.00021843384000952426,1.0963837884125915e-05,per36min
2.253057126389013e-05,5.225095948757641e-05,per36min
6.933432084244018e-06,3.7782092522475885e-05,per36min
0.0001413448727191069,4.349248038904019e-05,per36min
9.491911733272573e-07,0.00010337359298040472,per36min
1.1551138863308275e-05,2.9342077473737405e-05,per36min
4.850817436741206e-05,1.3977849049662261e-05,per36min
8.948795451324543e-06,4.712866512457392e-05,per36min
4.3688665840480034e-05,3.89013361667967e-06,per36min
7.594284564871323e-05,2.4596169903690068e-05,per36min
0.00011534728089712676,0.00010101131983919487,per36min
1.7323676753444595e-05,7.042761951747689e-05,per36min
0.00015956225660829215,8.92317187306535e-05,per36min
7.95110973569324e-05,9.977178670184106e-05,per36min
4.2653962550875946e-07,9.55831411431074e-06,per36min
3.359560099669423e-06,0.00042456178151362156,per36min
1.376099234562389e-11,3.78709853285919e-05,per36min
1.2142331806686002e-08,3.841103203394702e-06,per36min
1.76430443098452e-05,2.3744892499899528e-05,per36min
8.919380272143229e-07,6.683895262704631e-05,per36min
2.7597630686826413e-05,1.8339345908668925e-05,per36min
5.816126910862529e-06,8.065252189426442e-05,per36min
7.974711896396869e-07,3.5863205376518437e-06,per36min
3.077447436383718e-05,0.00011286077278482853,per36min
1.236710874974456e-05,7.307800220168748e-05,per36min
2.794415345264145e-05,5.720809635456625e-06,per36min
0.00019954201869876176,0.0004074296295687452,per36min
6.975048008062146e-06,6.621467091239008e-05,per36min
1.6410120200038847e-05,0.0001709490830145155,per36min
