capture_id,cycle_id,game_date,game_time_et,matchup,team_raw,coverage_status,retrieval_ts_utc
cap_20260807T092702485429,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Las Vegas Aces,NOT_YET_SUBMITTED,2026-08-07T09:27:14.465286+00:00
cap_20260807T092702485429,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Minnesota Lynx,NOT_YET_SUBMITTED,2026-08-07T09:27:14.465286+00:00
cap_20260807T092702485429,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Indiana Fever,NOT_YET_SUBMITTED,2026-08-07T09:27:14.465286+00:00
cap_20260807T092702485429,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Chicago Sky,NOT_YET_SUBMITTED,2026-08-07T09:27:14.465286+00:00
cap_20260807T092702485429,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Seattle Storm,NOT_YET_SUBMITTED,2026-08-07T09:27:14.465286+00:00
cap_20260807T092702485429,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Portland Fire,NOT_YET_SUBMITTED,2026-08-07T09:27:14.465286+00:00
cap_20260807T094202545478,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Las Vegas Aces,NOT_YET_SUBMITTED,2026-08-07T09:42:14.594208+00:00
cap_20260807T094202545478,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Minnesota Lynx,NOT_YET_SUBMITTED,2026-08-07T09:42:14.594208+00:00
cap_20260807T094202545478,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Indiana Fever,NOT_YET_SUBMITTED,2026-08-07T09:42:14.594208+00:00
cap_20260807T094202545478,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Chicago Sky,NOT_YET_SUBMITTED,2026-08-07T09:42:14.594208+00:00
cap_20260807T094202545478,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Seattle Storm,NOT_YET_SUBMITTED,2026-08-07T09:42:14.594208+00:00
cap_20260807T094202545478,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Portland Fire,NOT_YET_SUBMITTED,2026-08-07T09:42:14.594208+00:00
