candidate,dependent,direction,coverage,skill_gain,scheme,p_correct_level,p_row_level_NAIVE,null_sd_correct,null_sd_row_NAIVE,inflation_sd_correct_over_row,familywise_p_correct
pl_min_cv5,rate_ppm_refB,abstain on HIGH,0.75,-0.00438144096963089,BETWEEN-block,0.9950124688279302,0.9900249376558603,0.0016273003006018962,0.001822703897987955,0.8927946565529592,1.0
pl_min_cv5,rate_ppm_refB,abstain on LOW,0.75,0.0009186015867476138,BETWEEN-block,0.1970074812967581,0.30423940149625933,0.0016299507038146893,0.0017283958961786172,0.943042451916494,1.0
pl_min_cv5,rate_ppf_refA,abstain on HIGH,0.75,0.001034610999987584,BETWEEN-block,0.2892768079800499,0.2892768079800499,0.0016787015980272186,0.0018489212726341406,0.9079356827538624,1.0
pl_min_cv5,rate_ppf_refA,abstain on LOW,0.75,-0.00012565876751402527,BETWEEN-block,0.39650872817955113,0.5511221945137157,0.0017063458481745624,0.002012999555009086,0.8476633012305164,1.0
pl_min_cv5,level_points,abstain on HIGH,0.75,-0.006114617203799688,BETWEEN-block,0.9975062344139651,1.0,0.0018722581266186645,0.0019687208919394357,0.9510023154040168,1.0
pl_min_cv5,level_points,abstain on LOW,0.75,0.005693266647947004,BETWEEN-block,0.007481296758104738,0.004987531172069825,0.0019710846392940913,0.001969446805311616,1.0008316213355233,1.0
pl_min_cv5,level_minutes,abstain on HIGH,0.75,-0.008786738823938767,BETWEEN-block,0.9800498753117207,1.0,0.003652805891773451,0.002766745059084163,1.3202538773061325,1.0
pl_min_cv5,level_minutes,abstain on LOW,0.75,0.004991568086642584,BETWEEN-block,0.15211970074812967,0.034912718204488775,0.0034381626230190225,0.0029184384838021552,1.178082951585729,1.0
pl_min_rng5,rate_ppm_refA,abstain on HIGH,0.75,0.0009897456919287784,WITHIN-block,0.30673316708229426,0.2344139650872818,0.00121670653172403,0.0016553664358986743,0.735007370777998,1.0
pl_min_rng5,rate_ppm_refA,abstain on LOW,0.75,-0.00025519180773392325,WITHIN-block,0.8653366583541147,0.6508728179551122,0.0013096585755837623,0.0015438038060036914,0.8483322624873946,1.0
pl_min_rng5,rate_ppm_refB,abstain on HIGH,0.75,0.0007892916973832875,WITHIN-block,0.3940149625935162,0.2942643391521197,0.0014572285087958428,0.001895454060994648,0.7688018078534469,1.0
pl_min_rng5,rate_ppm_refB,abstain on LOW,0.75,-0.0009382614387055677,WITHIN-block,0.885286783042394,0.7182044887780549,0.0014694282318616413,0.0017249294425810914,0.8518772974637548,1.0
pl_min_rng5,rate_ppf_refA,abstain on HIGH,0.75,0.0007082917603148386,WITHIN-block,0.12967581047381546,0.3541147132169576,0.0017813018260239297,0.0018067600986244184,0.9859094338977978,1.0
pl_min_rng5,rate_ppf_refA,abstain on LOW,0.75,-0.0018371770269542953,WITHIN-block,0.9376558603491272,0.8653366583541147,0.0015250312971803663,0.001838221479330556,0.8296232604874971,1.0
pl_min_rng5,level_points,abstain on HIGH,0.75,-0.00017003067449017362,WITHIN-block,0.17955112219451372,0.5561097256857855,0.0016816513701218211,0.0019347716979448847,0.8691730253797241,1.0
pl_min_rng5,level_points,abstain on LOW,0.75,0.0010242935112966256,WITHIN-block,0.8403990024937655,0.33915211970074816,0.0017781498139934015,0.0019055796443869912,0.9331280480619414,1.0
