subset,target,stage,denominator,exposure,n,rung,kind,mae,rmse,r2,sd_y,coverage
"DECISION (>=8 prior, >=24 trail-5 min)",y_ftm,ABC,FULL_STRATUM,minutes,5111,H3   prior rate(floored) x prior exposure,honest,1.6772267303984703,2.1898220774273596,0.20494548817128266,2.4561385812898857,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_ftm,ABC,FULL_STRATUM,minutes,3552,H4   walk-forward OLS on B_COMPLETE,honest,1.6858909373602189,2.200830393877131,0.22521144983934482,2.5006684826056715,0.6949716298180395
"DECISION (>=8 prior, >=24 trail-5 min)",y_ftm,ABC,FULL_STRATUM,minutes,5111,O1   SEASON-MEAN target,ORACLE,1.606600590372097,2.1044521336832704,0.26572735220624966,2.4561385812898857,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_ftm,ABC,FULL_STRATUM,minutes,5111,O2   ACTUAL exposure x SEASON-MEAN rate,ORACLE,1.5628387087204538,2.0467924830962554,0.3054126440377962,2.4561385812898857,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_ftm,ABC,FULL_STRATUM,minutes,5111,O4   ACTUAL exposure x prior rate(floored),ORACLE,1.6327798987569664,2.134624127206092,0.24452156095084543,2.4561385812898857,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_ftm,ABC,FULL_STRATUM,minutes,5111,O5   prior exposure x SEASON-MEAN rate,ORACLE,1.6081056739032382,2.108525566343874,0.262882046412678,2.4561385812898857,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_ftm,ABC,FULL_STRATUM,minutes,5111,O3   within-player-season OLS on ACTUAL exposure,ORACLE,1.4987381683877634,1.990946655059447,0.3427985783706542,2.4561385812898857,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_pts,ANCHOR,FULL_STRATUM,minutes,5111,REF  expanding prior mean (MATCHED),honest,4.986270187428811,6.341364554725671,0.3006597428363509,7.583696544741256,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_pts,ANCHOR,FULL_STRATUM,minutes,5111,H1   EWMA prior (hl=5),honest,5.002766151121679,6.343991320694235,0.3000802512646261,7.583696544741256,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_pts,ANCHOR,FULL_STRATUM,minutes,5111,H2   trailing-5 prior mean,honest,5.237174721189591,6.6353906677185135,0.23430452142538016,7.583696544741256,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_pts,ANCHOR,FULL_STRATUM,minutes,5111,H3   prior rate(floored) x prior exposure,honest,4.984363202908947,6.33871572355511,0.30124385919453023,7.583696544741256,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_pts,ANCHOR,FULL_STRATUM,minutes,3552,H4   walk-forward OLS on B_COMPLETE,honest,5.0361486866851495,6.371653311234696,0.3222429456071717,7.740629066588402,0.6949716298180395
"DECISION (>=8 prior, >=24 trail-5 min)",y_pts,ANCHOR,FULL_STRATUM,minutes,5111,O1   SEASON-MEAN target,ORACLE,4.7660979659817295,6.063979627832378,0.36050293659864174,7.583696544741256,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_pts,ANCHOR,FULL_STRATUM,minutes,5111,O2   ACTUAL exposure x SEASON-MEAN rate,ORACLE,4.248339240787457,5.451506116308915,0.48316002752585574,7.583696544741256,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_pts,ANCHOR,FULL_STRATUM,minutes,5111,O4   ACTUAL exposure x prior rate(floored),ORACLE,4.425091590465453,5.681989646967908,0.4385333521651632,7.583696544741256,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_pts,ANCHOR,FULL_STRATUM,minutes,5111,O5   prior exposure x SEASON-MEAN rate,ORACLE,4.831439779914369,6.141806529415534,0.34398261166513056,7.583696544741256,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_pts,ANCHOR,FULL_STRATUM,minutes,5111,O3   within-player-season OLS on ACTUAL exposure,ORACLE,4.09681055223238,5.2836217032687935,0.5145030362638471,7.583696544741256,1.0
ALL incl 2021 (power sensitivity),y_any_fta,A,FULL_STRATUM,minutes,17578,REF  expanding prior mean (MATCHED),honest,0.36680441051433316,0.45732203774393443,0.1588254090795591,0.4986449336377734,0.9651877882714693
ALL incl 2021 (power sensitivity),y_any_fta,A,FULL_STRATUM,minutes,17578,H1   EWMA prior (hl=5),honest,0.3647263991664569,0.45971937961932413,0.14998319943108196,0.4986449336377734,0.9651877882714693
ALL incl 2021 (power sensitivity),y_any_fta,A,FULL_STRATUM,minutes,17578,H2   trailing-5 prior mean,honest,0.36250805931656993,0.47574774685296023,0.08967731371704957,0.4986449336377734,0.9651877882714693
