absence_game_id,absent_player_id,absent_player_name,top_absorber_id,top_absorber_name,delta_usage,season
1022400074,1628279,Brittney Sykes,1631141,Jade Melbourne,0.10625,2024
1022400075,1631021,Sika Koné,1630151,Olivia Époupa,0.1570909090909091,2024
1022400080,1641660,Zia Cooke,1642287,Cameron Brink,0.12425,2024
1022400081,203827,Natasha Howard,1642244,Sevgi Uzun,0.1456296296296296,2024
1022400084,1628279,Brittney Sykes,1642210,Julie Vanloo,0.1178333333333333,2024
1022400085,1631021,Sika Koné,1641657,Dorka Juhász,0.0884,2024
1022400087,1630149,Satou Sabally,1629481,Arike Ogunbowale,0.1061428571428571,2024
1022400095,1628279,Brittney Sykes,1628899,Myisha Hines-Allen,0.0741999999999999,2024
1022400098,1631021,Sika Koné,1629524,Bridget Carleton,0.0873124999999999,2024
1022400099,1628279,Brittney Sykes,1642210,Julie Vanloo,0.1388333333333333,2024
1022400102,1631009,Rhyne Howard,1630471,Maya Caldwell,0.0264117647058823,2024
1022400104,1628279,Brittney Sykes,1628899,Myisha Hines-Allen,0.1392,2024
1022400105,1630149,Satou Sabally,1642292,Jacy Sheldon,0.0227999999999999,2024
1022400106,1627672,Aerial Powers,202250,Tina Charles,0.0895294117647058,2024
1022400107,1631021,Sika Koné,1641649,Diamond Miller,0.1289999999999999,2024
1022400109,100940,Diana Taurasi,204333,Natasha Cloud,0.0724857142857142,2024
1022400110,1630149,Satou Sabally,1629481,Arike Ogunbowale,0.0461428571428571,2024
1022400116,1631021,Sika Koné,1629567,Natisha Hiedeman,0.1694117647058823,2024
1022400122,1629483,Napheesa Collier,1631021,Sika Koné,0.2937499999999999,2024
1022400123,1631009,Rhyne Howard,1641656,Laeticia Amihere,0.20725,2024
1022400129,1628279,Brittney Sykes,1631083,Emily Engstler,0.1310666666666666,2024
1022400130,1627672,Aerial Powers,1631044,Naz Hillmon,0.0643529411764705,2024
1022400132,1630149,Satou Sabally,1642244,Sevgi Uzun,0.1756666666666666,2024
1022400135,100940,Diana Taurasi,1627674,Kahleah Copper,0.0931212121212121,2024
1022400136,1629483,Napheesa Collier,1642293,Alissa Pili,0.1227222222222222,2024
1022400137,1627668,Breanna Stewart,1629477,Sabrina Ionescu,0.0734166666666666,2024
1022400140,1628279,Brittney Sykes,1628878,Ariel Atkins,0.1162777777777778,2024
1022400141,1631009,Rhyne Howard,1630471,Maya Caldwell,0.1014117647058823,2024
1022400142,1629483,Napheesa Collier,1629501,Alanna Smith,0.1302424242424242,2024
1022400143,1628279,Brittney Sykes,1642290,Aaliyah Edwards,0.1461999999999999,2024
1022400144,1641660,Zia Cooke,1630462,Aari McDonald,0.0551428571428571,2024
1022400145,1627668,Breanna Stewart,202664,Courtney Vandersloot,0.1098620689655172,2024
1022400147,1629483,Napheesa Collier,1629567,Natisha Hiedeman,0.0990882352941176,2024
1022400149,1630150,Chennedy Carter,1628890,Diamond DeShields,0.1322222222222222,2024
1022400150,1631021,Sika Koné,1641657,Dorka Juhász,0.0834,2024
1022400152,1627672,Aerial Powers,1628269,Nia Coffey,0.0435294117647058,2024
1022400157,1641660,Zia Cooke,1628915,Kia Nurse,0.1062758620689655,2024
1022400162,1641660,Zia Cooke,1628915,Kia Nurse,0.1622758620689655,2024
1022400163,1629477,Sabrina Ionescu,1642320,Jaylyn Sherrod,0.126375,2024
1022400167,1629477,Sabrina Ionescu,203866,Kayla Thornton,0.0865,2024
1022400175,1641660,Zia Cooke,1630996,Rae Burrell,0.2016923076923076,2024
1022400181,1630150,Chennedy Carter,1630446,Michaela Onyenwere,0.1635555555555555,2024
1022400182,1641660,Zia Cooke,1630101,Crystal Dangerfield,0.1025454545454545,2024
1022400184,204323,Cheyenne Parker-Tyus,1630471,Maya Caldwell,0.1352,2024
1022400185,1630150,Chennedy Carter,1628890,Diamond DeShields,0.1202222222222222,2024
1022400191,1630150,Chennedy Carter,1628890,Diamond DeShields,0.1702222222222222,2024
1022400198,204323,Cheyenne Parker-Tyus,1628269,Nia Coffey,0.1056,2024
1022400199,1641660,Zia Cooke,1628915,Kia Nurse,0.0962758620689655,2024
1022400208,1627672,Aerial Powers,1631009,Rhyne Howard,0.0983076923076923,2024
1022400209,1628932,A'ja Wilson,202641,Sydney Colson,0.253,2024
1022400210,1642291,Angel Reese,204330,Isabelle Harrison,0.0450333333333333,2024
1022400211,1641660,Zia Cooke,203824,Odyssey Sims,0.128625,2024
1022400216,1642291,Angel Reese,1629488,Brianna Turner,0.0672727272727272,2024
1022400217,1641660,Zia Cooke,1630101,Crystal Dangerfield,0.1085454545454545,2024
1022400222,1642291,Angel Reese,1627671,Rachel Banham,0.1027,2024
1022400223,1627674,Kahleah Copper,204333,Natasha Cloud,0.0860571428571428,2024
1022400226,204323,Cheyenne Parker-Tyus,1630471,Maya Caldwell,0.1822,2024
1022400227,1627674,Kahleah Copper,100940,Diana Taurasi,0.1160909090909091,2024
1022400229,204319,Jewell Loyd,1642299,Nika Mühl,0.2707857142857143,2024
1022400234,204319,Jewell Loyd,1628931,Gabby Williams,0.0706666666666666,2024
1022400235,1630150,Chennedy Carter,1630446,Michaela Onyenwere,0.0825555555555555,2024
