scope,battery,perm_idx,n_eligible_cells_in_family,max_roi_over_eligible_cells,n_eligible_cells_perm_beats_obs
regular,companion_regular,45,298,0.05636363476514816,241
regular,companion_regular,46,298,0.25564369559288025,248
regular,companion_regular,47,298,0.08222351223230362,257
regular,companion_regular,48,298,0.1528925597667694,204
regular,companion_regular,49,298,0.08529163897037506,228
regular,companion_regular,50,298,0.0522804856300354,153
regular,companion_regular,51,298,0.017521396279335022,209
regular,companion_regular,52,298,0.03782794252038002,163
regular,companion_regular,53,298,0.02095557376742363,151
regular,companion_regular,54,298,0.010788382031023502,166
regular,companion_regular,55,298,0.053125716745853424,209
regular,companion_regular,56,298,0.09803921729326248,145
regular,companion_regular,57,298,0.09993979334831238,238
regular,companion_regular,58,298,0.20703811943531036,216
regular,companion_regular,59,298,0.05636363476514816,249
regular,companion_regular,60,298,0.19158023595809937,222
regular,companion_regular,61,298,0.1381118893623352,257
regular,companion_regular,62,298,0.017419705167412758,167
regular,companion_regular,63,298,0.04607721045613289,219
regular,companion_regular,64,298,0.01734449714422226,159
regular,companion_regular,65,298,0.17482517659664154,215
regular,companion_regular,66,298,0.11999999731779099,263
regular,companion_regular,67,298,0.14795008301734924,229
regular,companion_regular,68,298,0.11782296746969223,169
regular,companion_regular,69,298,0.042311929166316986,210
regular,companion_regular,70,298,0.07063882052898407,184
regular,companion_regular,71,298,0.11363636702299118,204
regular,companion_regular,72,298,0.11162255704402924,206
regular,companion_regular,73,298,0.04020978882908821,156
regular,companion_regular,74,298,0.0354391373693943,220
regular,companion_regular,75,298,0.15314215421676636,215
regular,companion_regular,76,298,0.09993979334831238,252
regular,companion_regular,77,298,0.21720561385154724,213
regular,companion_regular,78,298,0.1327272653579712,92
regular,companion_regular,79,298,0.08281028270721436,248
regular,companion_regular,80,298,0.11162255704402924,240
regular,companion_regular,81,298,0.1096590906381607,266
regular,companion_regular,82,298,0.030429821461439133,205
regular,companion_regular,83,298,0.05553831905126572,277
regular,companion_regular,84,298,0.04658861085772514,192
regular,companion_regular,85,298,0.1286449432373047,192
regular,companion_regular,86,298,0.1237054094672203,249
regular,companion_regular,87,298,0.048237476497888565,209
regular,companion_regular,88,298,0.06434623152017593,255
regular,companion_regular,89,298,0.04119211435317993,236
regular,companion_regular,90,298,0.12809917330741882,236
regular,companion_regular,91,298,0.08916083723306656,170
regular,companion_regular,92,298,0.04087385535240173,242
regular,companion_regular,93,298,0.046254150569438934,185
regular,companion_regular,94,298,0.11999999731779099,205
regular,companion_regular,95,298,0.09803921729326248,174
regular,companion_regular,96,298,0.1286449432373047,227
regular,companion_regular,97,298,0.05329153686761856,276
regular,companion_regular,98,298,0.07465382665395737,161
regular,companion_regular,99,298,0.05369081348180771,208
regular,companion_regular,100,298,0.10654313862323761,150
regular,companion_regular,101,298,0.1327272653579712,251
regular,companion_regular,102,298,0.00822404958307743,157
regular,companion_regular,103,298,0.17203682661056519,255
regular,companion_regular,104,298,0.08556149899959564,174
regular,companion_regular,105,298,0.09803921729326248,244
regular,companion_regular,106,298,0.21153846383094788,279
regular,companion_regular,107,298,0.047494418919086456,238
regular,companion_regular,108,298,0.12809917330741882,254
regular,companion_regular,109,298,0.1378687471151352,184
regular,companion_regular,110,298,0.05952930450439453,213
regular,companion_regular,111,298,0.1652892529964447,211
regular,companion_regular,112,298,0.06060606241226196,221
regular,companion_regular,113,298,0.07751284539699554,219
regular,companion_regular,114,298,0.1505117416381836,176
regular,companion_regular,115,298,0.03978434577584267,226
regular,companion_regular,116,298,0.11363636702299118,243
regular,companion_regular,117,298,0.0634533241391182,174
regular,companion_regular,118,298,0.0634533241391182,280
