candidate,dependent,sd_abs,mean_abs,sd_signed_recovered,fold_factor_sd
pl_min_cv5,fga_sqres,1.2837512851252642,2.874877034649672,3.148481431804364,2.4525634118427746
pl_min_rng5,pts_absres,0.8211359087867072,3.1053086896461273,3.2120408214545964,3.9117042466217793
pl_min_rng5,pts_sqres,0.8303464737393912,4.205482507623754,4.286672181119151,5.162510249263185
pl_min_rng5,minutes_absres,0.9253350632363342,11.53547260020121,11.57252665104935,12.506309455706512
pl_min_rng5,minutes_sqres,0.9923667078519793,8.963677136021001,9.018442187078577,9.087812111915145
pl_min_rng5,fga_absres,0.6546348050897176,0.9136884249900296,1.12399878380522,1.7169859822090823
pl_min_rng5,fga_sqres,0.8760459872419374,2.032824077128641,2.2135560305347166,2.526757798986869
pl_fga_sd5,pts_absres,0.833147154915616,21.151289035763096,21.167691467331437,25.40690602187242
pl_fga_sd5,pts_sqres,0.9145424309987727,17.982161969300446,18.00540299321991,19.687881483591955
pl_fga_sd5,minutes_absres,0.756535925400186,3.7786894060408507,3.8536787922382003,5.093847711461573
pl_fga_sd5,minutes_sqres,0.7741806317854047,4.034793839929772,4.10839591341522,5.30676659262386
pl_fga_sd5,fga_absres,0.9001001554319911,19.29423275538283,19.3152167450613,21.458963903623836
pl_fga_sd5,fga_sqres,0.9835977755694103,17.216576472774577,17.24465047564027,17.532217847541638
pl_pts_sd5,pts_absres,0.9174662304349682,27.577598195648264,27.592855352873702,30.075063732636792
pl_pts_sd5,pts_sqres,1.0195408944855733,24.355040440901,24.376370905314264,23.90916444564372
pl_pts_sd5,minutes_absres,0.7004786299851593,7.169679821912903,7.203816978505973,10.284135261426314
pl_pts_sd5,minutes_sqres,0.7035583595212949,6.919997236480605,6.955670788511451,9.886416235952522
pl_pts_sd5,fga_absres,0.8426776132154818,18.493243525017547,18.512432623386317,21.96858244844875
pl_pts_sd5,fga_sqres,0.9150484637272385,16.7671043073267,16.792054684991445,18.351000357503352
pl_usg_sd5,pts_absres,0.6706840566199087,11.46499115425179,11.484591384584649,17.12369821710734
pl_usg_sd5,pts_sqres,0.6053985763726513,8.472083910654625,8.49368666866438,14.029908559672787
pl_usg_sd5,minutes_absres,0.8775693163157376,5.7035014063492175,5.770620087751955,6.575685795372276
pl_usg_sd5,minutes_sqres,0.9359312414289492,6.987032248282057,7.0494387668250695,7.532004975132806
pl_usg_sd5,fga_absres,0.7483979057996373,5.834890852850394,5.882690769544366,7.86037844835885
pl_usg_sd5,fga_sqres,0.6917022151205144,4.074855004664524,4.133145928157164,5.97532556323685
pl_min_trend5,pts_absres,0.6177712588294503,0.852375746391849,1.0527040140860038,1.7040352704019637
pl_min_trend5,pts_sqres,0.5817797456586331,0.8001366072293734,0.9892857335912393,1.7004471898059437
pl_min_trend5,minutes_absres,0.6853193894096358,0.9005469118485341,1.1316569294360934,1.651283980759617
pl_min_trend5,minutes_sqres,0.7389023476946921,0.996522937646959,1.2405783508852848,1.6789476373377024
pl_min_trend5,fga_absres,0.6633243437798116,0.8936480452838913,1.1129267783150145,1.6778018005086919
pl_min_trend5,fga_sqres,0.6437061329084858,0.8715195478606038,1.083468461860865,1.6831725013483743
pl_abs_min_trend5,pts_absres,0.8634741480689703,2.666259738584845,2.802593191667667,3.245717544567193
pl_abs_min_trend5,pts_sqres,0.8397801748164664,3.081251965350464,3.1936412472271947,3.8029490847710994
pl_abs_min_trend5,minutes_absres,0.9839193379651131,7.810991696637884,7.87271798990461,8.001385567018659
pl_abs_min_trend5,minutes_sqres,1.0437628494537183,6.3751070150319595,6.459986868331038,6.189132782137291
