game_id,game_date,season,team_i,player_id,player_name,label,absence_game_id,absence_date,d_ft,d_stint,d_rim,d_min,days_rest,games_last7,score_micro,score_incumbent
1022400086,2024-06-19,2024,SEA,1628927,Victoria Vivians,0,,,,41.73333333333335,-0.14285714285714285,-3.8683333333333323,3.0,2.0,2.1730138781759996,1.4295447473328418
1022400097,2024-06-23,2024,SEA,1628927,Victoria Vivians,0,,,,26.817777777777792,-0.13333333333333333,-3.2933333333333366,4.0,2.0,2.250302123974255,0.826674108460193
1022400101,2024-06-27,2024,SEA,1628927,Victoria Vivians,0,,,,-2.8250000000000455,-0.08035714285714285,-5.055833333333334,4.0,1.0,2.876680822538343,0.2231401583860948
1022400105,2024-06-29,2024,SEA,1628927,Victoria Vivians,0,,,,-43.4705882352942,-0.06370192307692307,-6.99235294117647,2.0,2.0,4.347922237679025,2.8568630029712594
1022400110,2024-07-01,2024,SEA,1628927,Victoria Vivians,0,,,,-44.085185185185196,-0.040624999999999994,-8.401666666666667,2.0,2.0,4.503540158096733,3.3126874064715635
1022400120,2024-07-05,2024,SEA,1628927,Victoria Vivians,0,,,,-78.57192982456144,-0.04341926729986431,-7.3794736842105255,4.0,2.0,5.121890183571171,2.14828366520333
1022400131,2024-07-10,2024,SEA,1628927,Victoria Vivians,0,,,,-95.38666666666668,,-8.9,5.0,1.0,5.465512710535052,1.04959215603365
1022400136,2024-07-12,2024,SEA,1628927,Victoria Vivians,0,,,,-87.24444444444444,-0.036986301369863,-7.382222222222222,2.0,2.0,5.263573620882264,2.982961208971459
1022400141,2024-07-14,2024,SEA,1628927,Victoria Vivians,0,,,,-48.67196969696974,-0.05294705294705293,-4.718030303030302,2.0,2.0,3.602195459827087,2.1212625889898895
1022400144,2024-07-16,2024,SEA,1628927,Victoria Vivians,0,,,,-66.67971014492758,-0.06904761904761904,-3.0404347826086955,2.0,3.0,3.755881518714455,2.7522578012785894
1022400152,2024-08-16,2024,SEA,1628927,Victoria Vivians,0,,,,-78.32638888888889,-0.029761904761904767,-3.255972222222221,15.0,0.0,3.5944404586720573,-6.118430792791982
1022400160,2024-08-18,2024,SEA,1628927,Victoria Vivians,0,,,,-68.78933333333333,-0.03956521739130435,-1.3066666666666684,2.0,1.0,2.8465541689472156,-0.15569102853054806
