response,window,population,row_set,candidate,arm,projection,weighting,base,n,n_folds,sst,r2_base,r2_aug,dr2,beta,sign
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,G01_noise,UNFROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6682232592551522,0.6681544994056068,-6.875984954556677e-05,0.03503607541779087,-
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A1_pts_share_prior,FROZEN,RAW,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.1669157771503057,0.17070336346235981,0.0037875863120541485,6.190788956847341,+
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A1_pts_share_prior,FROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.18009777229426904,0.21115751647642467,0.031059744182155673,6.190788956847341,+
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A1_pts_share_prior,FROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.2269025177993107,0.2548309823314696,0.027928464532158977,6.190788956847341,+
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A1_pts_share_prior,UNFROZEN,RAW,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.1669157771503057,0.1724860574669379,0.00557028031663225,9.047047641583868,+
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A1_pts_share_prior,UNFROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.18009777229426904,0.17078927690661827,-0.009308495387650748,9.047047641583868,-
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A1_pts_share_prior,UNFROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.2269025177993107,0.2192821926958537,-0.007620325103457008,9.047047641583868,-
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A2_fga_share_prior,FROZEN,RAW,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.1669157771503057,0.1707767302929739,0.003860953142668262,5.9890095861801935,+
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A2_fga_share_prior,FROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.18009777229426904,0.2094086120196348,0.029310839725365745,5.9890095861801935,+
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A2_fga_share_prior,FROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.2269025177993107,0.25327030051657073,0.02636778271726001,5.9890095861801935,+
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A2_fga_share_prior,UNFROZEN,RAW,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.1669157771503057,0.17275628808477095,0.005840510934465266,9.273921373423947,+
M_level_min,DISCLOSED_2022,DECISION,n_prior>=8 & prior5_minutes>=24,A2_fga_share_prior,UNFROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",1350,1,52259.97034238683,0.18009777229426904,0.17215401536080865,-0.007943756933460343,9.273921373423947,-
