game_id,season,season_type,game_date,team_abbreviation,opp_team_abbreviation,pts,opp_pts,margin_true,bookie_margin,n_books,era_file,bookie_margin_t65,bookie_err,bookie_err_t65,both_playoff_teams,err_str,str_margin_cal
1022200156,2022,Regular Season,2022-07-19,LAS,IND,86,79,7.0,8.178571428571429,14,master_odds.csv,8.178571428571429,1.1785714285714288,1.1785714285714288,False,,
1022200157,2022,Regular Season,2022-07-20,CHI,SEA,78,74,4.0,2.5,14,master_odds.csv,2.5,-1.5,-1.5,True,,
1022200158,2022,Regular Season,2022-07-21,WAS,NYL,78,69,9.0,8.1,15,master_odds.csv,8.1,-0.9000000000000004,-0.9000000000000004,True,,
1022200159,2022,Regular Season,2022-07-21,LAS,ATL,85,78,7.0,2.066666666666667,15,master_odds.csv,2.066666666666667,-4.933333333333334,-4.933333333333334,False,,
1022200160,2022,Regular Season,2022-07-21,LVA,IND,90,77,13.0,17.233333333333334,15,master_odds.csv,17.233333333333334,4.233333333333334,4.233333333333334,False,,
1022200161,2022,Regular Season,2022-07-22,MIN,CON,84,94,-10.0,1.0357142857142858,14,master_odds.csv,1.0357142857142858,11.035714285714286,11.035714285714286,False,,
1022200162,2022,Regular Season,2022-07-22,CHI,DAL,89,83,6.0,7.5,15,master_odds.csv,7.5,1.5,1.5,True,,
1022200163,2022,Regular Season,2022-07-22,PHO,SEA,94,78,16.0,-5.8,15,master_odds.csv,-5.8,-21.8,-21.8,True,,
1022200164,2022,Regular Season,2022-07-23,NYL,CHI,83,80,3.0,-4.133333333333334,15,master_odds.csv,-4.133333333333334,-7.133333333333334,-7.133333333333334,True,,
1022200165,2022,Regular Season,2022-07-23,LVA,LAS,84,66,18.0,9.5,15,master_odds.csv,9.5,-8.5,-8.5,False,,
1022200166,2022,Regular Season,2022-07-24,IND,DAL,86,96,-10.0,-6.8,15,master_odds.csv,-6.8,3.2,3.2,False,,
1022200167,2022,Regular Season,2022-07-24,SEA,ATL,82,72,10.0,7.5,15,master_odds.csv,7.5,-2.5,-2.5,False,,
1022200168,2022,Regular Season,2022-07-24,MIN,CON,79,86,-7.0,-5.071428571428571,14,master_odds.csv,-5.071428571428571,1.9285714285714288,1.9285714285714288,False,,
1022200169,2022,Regular Season,2022-07-28,ATL,MIN,85,92,-7.0,1.1666666666666667,15,master_odds.csv,1.1666666666666667,8.166666666666666,8.166666666666666,False,,
1022200170,2022,Regular Season,2022-07-28,CON,SEA,88,83,5.0,3.5,14,master_odds.csv,3.5,-1.5,-1.5,True,,
1022200171,2022,Regular Season,2022-07-28,DAL,WAS,77,87,-10.0,1.6,15,master_odds.csv,1.6,11.6,11.6,True,,
1022200172,2022,Regular Season,2022-07-28,PHO,LAS,90,80,10.0,4.733333333333333,15,master_odds.csv,4.733333333333333,-5.266666666666667,-5.266666666666667,False,,
1022200173,2022,Regular Season,2022-07-29,IND,LVA,72,93,-21.0,-14.266666666666667,15,master_odds.csv,-14.266666666666667,6.7333333333333325,6.7333333333333325,False,,
1022200174,2022,Regular Season,2022-07-29,CHI,NYL,89,81,8.0,8.0,15,master_odds.csv,8.0,0.0,0.0,True,,
1022200175,2022,Regular Season,2022-07-30,WAS,SEA,77,82,-5.0,1.8,15,master_odds.csv,1.6666666666666667,6.8,6.666666666666667,True,,
1022200176,2022,Regular Season,2022-07-30,ATL,DAL,68,81,-13.0,1.5,15,master_odds.csv,1.5,14.5,14.5,False,,
1022200177,2022,Regular Season,2022-07-31,CON,CHI,92,95,-3.0,4.107142857142857,14,master_odds.csv,4.107142857142857,7.107142857142857,7.107142857142857,True,,
1022200178,2022,Regular Season,2022-07-31,NYL,PHO,89,69,20.0,-1.4666666666666666,15,master_odds.csv,-1.4666666666666666,-21.466666666666665,-21.466666666666665,True,,
1022200179,2022,Regular Season,2022-07-31,IND,LVA,69,94,-25.0,-17.466666666666665,15,master_odds.csv,-17.466666666666665,7.533333333333335,7.533333333333335,False,,
1022200180,2022,Regular Season,2022-07-31,WAS,SEA,78,75,3.0,2.7666666666666666,15,master_odds.csv,2.7666666666666666,-0.2333333333333334,-0.2333333333333334,True,,
1022200181,2022,Regular Season,2022-07-31,LAS,MIN,77,84,-7.0,-2.8,15,master_odds.csv,-2.8,4.2,4.2,False,,
1022200182,2022,Regular Season,2022-08-02,CON,PHO,87,63,24.0,10.333333333333334,15,master_odds.csv,10.333333333333334,-13.666666666666666,-13.666666666666666,True,,
1022200183,2022,Regular Season,2022-08-02,NYL,LAS,102,73,29.0,5.5,16,master_odds.csv,5.5,-23.5,-23.5,False,,
1022200184,2022,Regular Season,2022-08-02,WAS,LVA,83,73,10.0,-3.15625,16,master_odds.csv,-3.15625,-13.15625,-13.15625,True,,
1022200185,2022,Regular Season,2022-08-02,CHI,DAL,78,84,-6.0,8.65625,16,master_odds.csv,8.65625,14.65625,14.65625,True,,
1022200186,2022,Regular Season,2022-08-03,ATL,IND,91,81,10.0,9.78125,16,master_odds.csv,9.78125,-0.21875,-0.21875,False,,
1022200187,2022,Regular Season,2022-08-03,NYL,LAS,64,61,3.0,6.78125,16,master_odds.csv,6.78125,3.78125,3.78125,False,,
1022200188,2022,Regular Season,2022-08-03,SEA,MIN,89,77,12.0,6.3125,16,master_odds.csv,6.3125,-5.6875,-5.6875,False,,
1022200189,2022,Regular Season,2022-08-04,CON,PHO,77,64,13.0,11.892857142857142,14,master_odds.csv,11.892857142857142,-1.1071428571428577,-1.1071428571428577,True,,
1022200190,2022,Regular Season,2022-08-04,DAL,LVA,82,80,2.0,-7.5,15,master_odds.csv,-7.5,-9.5,-9.5,True,,
1022200191,2022,Regular Season,2022-08-05,ATL,LAS,88,86,2.0,5.5,16,master_odds.csv,5.5,3.5,3.5,False,,
1022200192,2022,Regular Season,2022-08-05,CHI,WAS,93,83,10.0,6.09375,16,master_odds.csv,6.09375,-3.90625,-3.90625,True,,
1022200193,2022,Regular Season,2022-08-06,DAL,IND,95,91,4.0,13.09375,16,master_odds.csv,13.09375,9.09375,9.09375,False,,
1022200194,2022,Regular Season,2022-08-06,PHO,NYL,76,62,14.0,-2.25,16,master_odds.csv,-2.25,-16.25,-16.25,True,,
1022200195,2022,Regular Season,2022-08-07,CHI,CON,94,91,3.0,3.7,15,master_odds.csv,3.7,0.7000000000000002,0.7000000000000002,True,,
