game_id,team_id,season,season_type,game_date,team_abbreviation,n_played,team_total_min,ot_game,top5_share,top7_share,starter_min_avg_raw,starter_min_avg_n40,starter_share,bench_share,max_min_n40,n_35plus_n40,n_30plus_n40,dressed_n,n_dnp,n_dnp_cd
1022100062,1611661330,2021,Regular Season,2021-06-13,ATL,10,199.99999999999997,0,0.7683333333333335,0.9210833333333336,30.733333333333327,30.733333333333334,0.7683333333333332,0.2316666666666668,36.300000000000004,1,3,10,0,0
1022100063,1611661319,2021,Regular Season,2021-06-13,LVA,9,200.00000000000003,0,0.75925,0.9806666666666667,30.369999999999997,30.369999999999994,0.7592499999999999,0.24075000000000013,35.21666666666666,1,2,10,1,1
1022100063,1611661321,2021,Regular Season,2021-06-13,DAL,10,200.0,0,0.6976666666666667,0.8449166666666666,19.10333333333333,19.10333333333333,0.4775833333333333,0.5224166666666668,33.28333333333333,0,1,12,2,2
1022100064,1611661313,2021,Regular Season,2021-06-13,NYL,9,199.99999999999997,0,0.6942499999999999,0.8844166666666666,27.556666666666665,27.556666666666672,0.6889166666666667,0.31108333333333327,36.26666666666667,1,2,13,4,1
1022100064,1611661317,2021,Regular Season,2021-06-13,PHO,9,200.0,0,0.8260833333333332,0.9465833333333333,33.04333333333333,33.04333333333333,0.8260833333333332,0.17391666666666683,36.43333333333333,2,4,12,3,1
1022100065,1611661325,2021,Regular Season,2021-06-15,IND,10,200.0,0,0.7118333333333333,0.8894166666666667,27.78333333333334,27.78333333333334,0.6945833333333334,0.30541666666666656,37.3,1,2,12,2,0
1022100065,1611661328,2021,Regular Season,2021-06-15,SEA,12,199.99999999999997,0,0.63875,0.7960833333333335,24.90333333333333,24.903333333333336,0.6225833333333334,0.3774166666666666,32.650000000000006,0,1,12,0,0
1022100066,1611661324,2021,Regular Season,2021-06-15,MIN,9,200.0,0,0.6577500000000001,0.8681666666666666,25.689999999999998,25.689999999999998,0.64225,0.35775,29.65,0,0,13,4,0
1022100066,1611661329,2021,Regular Season,2021-06-15,CHI,10,199.99999999999997,0,0.7000000000000001,0.8899166666666667,28.0,28.000000000000007,0.7000000000000001,0.29999999999999993,29.566666666666674,0,0,10,0,0
1022100067,1611661313,2021,Regular Season,2021-06-15,NYL,9,200.0,0,0.6536666666666666,0.8377499999999999,24.236666666666665,24.236666666666665,0.6059166666666667,0.39408333333333334,29.6,0,0,12,3,0
1022100067,1611661319,2021,Regular Season,2021-06-15,LVA,10,200.0,0,0.7170833333333334,0.9130000000000001,24.96333333333333,24.96333333333333,0.6240833333333333,0.3759166666666667,30.35,0,1,11,1,0
1022100068,1611661317,2021,Regular Season,2021-06-16,PHO,8,200.0,0,0.7804166666666665,0.9378333333333333,30.27,30.27,0.7567499999999999,0.24325000000000008,34.36666666666667,0,4,10,2,2
1022100068,1611661320,2021,Regular Season,2021-06-16,LAS,9,200.0,0,0.7234166666666667,0.9074166666666668,28.936666666666667,28.936666666666667,0.7234166666666667,0.2765833333333333,34.583333333333336,0,2,9,0,0
1022100069,1611661325,2021,Regular Season,2021-06-17,IND,10,200.01666666666665,0,0.6852762269810849,0.8852595617031914,26.93,26.92775602033164,0.6731939005082911,0.3268060994917089,32.36396966919423,0,2,12,2,1
1022100069,1611661328,2021,Regular Season,2021-06-17,SEA,10,200.01666666666668,0,0.6916090325806182,0.841263228064328,27.666666666666668,27.66436130322473,0.6916090325806182,0.30839096741938177,31.79735022081493,0,3,12,2,2
1022100070,1611661322,2021,Regular Season,2021-06-17,WAS,8,200.0,0,0.853,0.98175,29.68,29.68,0.742,0.258,36.35,1,5,9,1,1
1022100070,1611661330,2021,Regular Season,2021-06-17,ATL,9,200.0,0,0.74125,0.8788333333333334,26.35,26.35,0.65875,0.34125000000000005,37.266666666666666,1,3,10,1,1
1022100071,1611661323,2021,Regular Season,2021-06-17,CON,8,200.01666666666665,0,0.845429547537705,0.9785851179068411,33.81999999999999,33.8171819015082,0.845429547537705,0.15457045246229495,38.4967919340055,3,4,11,3,2
1022100071,1611661329,2021,Regular Season,2021-06-17,CHI,10,200.0,0,0.7765,0.9184166666666665,31.059999999999995,31.059999999999995,0.7765,0.22350000000000003,34.666666666666664,0,3,10,0,0
1022100072,1611661321,2021,Regular Season,2021-06-17,DAL,10,200.0,0,0.5713333333333334,0.7525833333333333,19.876666666666665,19.876666666666665,0.4969166666666666,0.5030833333333333,25.05,0,0,12,2,2
1022100072,1611661324,2021,Regular Season,2021-06-17,MIN,9,200.0,0,0.77,0.9324166666666668,28.556666666666665,28.556666666666665,0.7139166666666666,0.28608333333333336,36.96666666666667,1,3,9,0,0
1022100073,1611661313,2021,Regular Season,2021-06-17,NYL,10,199.99999999999997,0,0.6045,0.7849166666666668,22.37333333333333,22.373333333333335,0.5593333333333333,0.44066666666666665,25.58333333333334,0,0,10,0,0
1022100073,1611661319,2021,Regular Season,2021-06-17,LVA,10,200.0,0,0.63725,0.8220000000000001,21.80333333333333,21.80333333333333,0.5450833333333333,0.45491666666666675,30.666666666666668,0,1,10,0,0
1022100074,1611661317,2021,Regular Season,2021-06-18,PHO,10,200.0,0,0.7651666666666667,0.9435833333333332,29.860000000000003,29.860000000000003,0.7465,0.25349999999999995,35.88333333333333,1,3,10,0,0
1022100074,1611661320,2021,Regular Season,2021-06-18,LAS,10,200.0,0,0.7253333333333333,0.9118333333333334,28.39666666666667,28.39666666666667,0.7099166666666668,0.29008333333333325,35.75,1,1,10,0,0
1022100075,1611661323,2021,Regular Season,2021-06-19,CON,8,200.0,0,0.8565,0.9858333333333335,34.260000000000005,34.260000000000005,0.8565,0.14349999999999996,37.05,2,4,11,3,2
1022100075,1611661329,2021,Regular Season,2021-06-19,CHI,9,200.0,0,0.71025,0.9003333333333333,26.626666666666665,26.626666666666665,0.6656666666666666,0.33433333333333337,35.61666666666667,1,2,10,1,1
1022100076,1611661322,2021,Regular Season,2021-06-19,WAS,7,200.00000000000003,0,0.8519166666666667,1.0,29.96666666666667,29.966666666666665,0.7491666666666666,0.25083333333333335,38.83333333333333,1,5,8,1,1
1022100076,1611661325,2021,Regular Season,2021-06-19,IND,10,200.0,0,0.7183333333333334,0.8585833333333335,26.32333333333333,26.32333333333333,0.6580833333333332,0.34191666666666676,34.1,0,2,12,2,2
1022100077,1611661321,2021,Regular Season,2021-06-19,DAL,12,199.99999999999997,0,0.6133333333333334,0.7910833333333335,21.026666666666664,21.026666666666667,0.5256666666666667,0.4743333333333333,30.85000000000001,0,1,12,0,0
1022100077,1611661324,2021,Regular Season,2021-06-19,MIN,9,200.03333333333333,0,0.6873021163139477,0.8963506082319612,26.793333333333333,26.788868521913013,0.6697217130478254,0.33027828695217465,33.91101483086152,0,2,9,0,0
1022100078,1611661313,2021,Regular Season,2021-06-20,NYL,8,200.01666666666665,0,0.7548537621864845,0.9345054578785101,30.156666666666673,30.154153820514964,0.7538538455128742,0.24614615448712585,37.763519706691106,2,3,10,2,2
