era,timing,bet_type,threshold,execution,cond_dim,cond_level,n_bets,wins,losses,pushes,hit_rate,roi,n_cons,roi_cons,n_best,roi_best,roi_ci90_low,roi_ci90_high,n_dates,mean_clv_pts,pct_clv_positive,clv_measurable,n_perm_ge,n_perm_nonempty,perm_roi_mean,perm_roi_q95,p_perm,p_perm_phipson_smyth,eligible,small_n_flag,q_bh,starred
extension,near-tip,total,0.5,best_book,side,under,192,89,102,1,0.46596858638743455,-0.10892724808412464,192,-0.12499999999999999,192,-0.10892724808412464,-0.2265813560725088,0.007895763507661887,101,,,False,58,200,-0.12576337,-0.065214045,0.29,0.2935323383084577,True,False,0.594525939177102,False
extension,near-tip,total,0.5,best_book,rest_sign,home_more,104,60,44,0,0.5769230769230769,0.09838484709291412,104,0.083041958041958,104,0.09838484709291412,-0.04043095983644448,0.24513183903945668,78,,,False,6,200,-0.030332707,0.07971729,0.03,0.03482587064676617,True,False,0.1621698113207547,False
extension,near-tip,total,0.5,best_book,rest_sign,equal,150,68,80,2,0.4594594594594595,-0.11986531370957307,150,-0.16000000000000003,150,-0.11986531370957307,-0.23434957910842188,0.0016584585770347176,91,,,False,174,200,-0.060178448,0.04234327,0.87,0.8706467661691543,True,False,0.9568330134357006,False
extension,near-tip,total,0.5,best_book,rest_sign,away_more,84,33,51,0,0.39285714285714285,-0.24828258345430676,84,-0.24999999999999994,84,-0.24828258345430676,-0.41661013913934014,-0.07460139158945232,64,,,False,107,200,-0.23942748,-0.13070928,0.535,0.5373134328358209,True,False,0.7721788413098237,False
extension,near-tip,total,0.5,best_book,phase,early,32,17,15,0,0.53125,0.019463415981835534,32,0.014204545454545449,32,0.019463415981835534,-0.2779308926404099,0.2827796645858634,15,,,False,110,200,0.041591592,0.2779411,0.55,0.5522388059701493,False,True,,False
extension,near-tip,total,0.5,best_book,phase,mid,196,90,104,2,0.4639175257731959,-0.11350807521620371,196,-0.1331168831168831,196,-0.11350807521620371,-0.22875922671656865,-0.005414141246708757,75,,,False,48,200,-0.14695203,-0.07535354,0.24,0.24378109452736318,True,False,0.5371874999999999,False
extension,near-tip,total,0.5,best_book,phase,late,110,54,56,0,0.4909090909090909,-0.06344324125434074,110,-0.09752066115702482,110,-0.06344324125434074,-0.20349787748051332,0.08057059848533825,48,,,False,129,200,-0.04100915,0.06238371,0.645,0.6467661691542289,True,False,0.8399659090909092,False
extension,near-tip,total,0.5,best_book,weekend,weekend,103,50,53,0,0.4854368932038835,-0.07561487995044397,103,-0.11032656663724628,103,-0.07561487995044397,-0.2599882208249785,0.10376542961756381,40,,,False,134,200,-0.053371806,0.051943786,0.67,0.6716417910447762,True,False,0.8484198895027625,False
extension,near-tip,total,0.5,best_book,weekend,weekday,235,111,122,2,0.47639484978540775,-0.08857522269803804,235,-0.10638297872340426,235,-0.08857522269803804,-0.18262444687135237,0.003950444930358986,93,,,False,56,200,-0.11518825,-0.041964885,0.28,0.2835820895522388,True,False,0.58448087431694,False
extension,near-tip,total,1.0,consensus,none,all,303,140,163,0,0.46204620462046203,-0.11791179117911789,303,-0.11791179117911789,303,-0.09243733607516785,-0.2098242645684984,-0.029264689530284504,131,,,False,90,200,-0.12103766,-0.056882825,0.45,0.4527363184079602,True,False,0.7132780082987552,False
extension,near-tip,total,1.0,consensus,line_terc,small,100,50,50,0,0.5,-0.045454545454545435,100,-0.045454545454545435,100,-0.026535010179171495,-0.19818181818181815,0.10850439882697945,77,,,False,131,200,-0.019261051,0.09362649,0.655,0.6567164179104478,True,False,0.8434044943820225,False
extension,near-tip,total,1.0,consensus,line_terc,mid,105,48,57,0,0.45714285714285713,-0.12727272727272726,105,-0.12727272727272726,105,-0.10872496177289295,-0.27586206896551724,0.030909090909090907,76,,,False,61,200,-0.1564417,-0.06279442,0.305,0.30845771144278605,True,False,0.6121366024518389,False
extension,near-tip,total,1.0,consensus,line_terc,large,98,42,56,0,0.42857142857142855,-0.1818181818181818,98,-0.1818181818181818,98,-0.14223357986433618,-0.34245845552297166,-0.02514506769825919,72,,,False,95,200,-0.1860906,-0.08769107,0.475,0.47761194029850745,True,False,0.7306711409395974,False
extension,near-tip,total,1.0,consensus,total_terc,low,106,42,64,0,0.39622641509433965,-0.2435677530017152,106,-0.2435677530017152,106,-0.2361250529991662,-0.4081818181818182,-0.07889060092449927,71,,,False,199,200,-0.12618956,-0.045454547,0.995,0.9950248756218906,True,False,1.0,False
extension,near-tip,total,1.0,consensus,total_terc,mid,94,50,44,0,0.5319148936170213,0.015473887814313352,94,0.015473887814313352,94,0.08688631760027274,-0.14711231183247842,0.17630853994490356,69,,,False,56,200,-0.027457425,0.13145314,0.28,0.2835820895522388,True,False,0.58448087431694,False
