arm,target,scheme,model,decile,n,mean_predicted,mean_realised,median_realised
A4_CLEAN_DEC,fga,WF,VSD,2,295,2.8333013951812185,2.8681299940034863,2.4577313541853165
A4_CLEAN_DEC,fga,WF,VSD,3,294,2.8663723979642377,2.9424710811111776,2.490557893759087
A4_CLEAN_DEC,fga,WF,VSD,4,295,2.8797353797117617,3.012854520936548,2.4485540069727207
A4_CLEAN_DEC,fga,WF,VSD,5,294,2.8913906576492927,3.040691734171761,2.57397201534292
A4_CLEAN_DEC,fga,WF,VSD,6,295,2.910040708090133,3.036101229384768,2.4591173863639977
A4_CLEAN_DEC,fga,WF,VSD,7,294,2.9230021011563077,2.8399802814615187,2.2862014232481664
A4_CLEAN_DEC,fga,WF,VSD,8,295,2.929538785178035,2.8841230026311,2.6734493888696917
A4_CLEAN_DEC,fga,WF,VSD,9,294,2.9378411612914537,3.026355934190713,2.645257865194549
A4_CLEAN_DEC,fga,WF,VSD,10,295,2.9729301433206476,2.765123841980912,2.3342828615617144
A4_CLEAN_DEC,fga,WF,VSIG,1,294,2.2690914550772625,2.344698696071441,2.000686144550436
A4_CLEAN_DEC,fga,WF,VSIG,2,295,2.6609165406621624,2.441133444385626,2.0089364201874416
A4_CLEAN_DEC,fga,WF,VSIG,3,294,2.80401435962742,2.7612497634674957,2.2773676024449054
A4_CLEAN_DEC,fga,WF,VSIG,4,295,2.9040211058412653,2.8654037904424743,2.485337991638408
A4_CLEAN_DEC,fga,WF,VSIG,5,294,2.9872722039432564,2.886279765603053,2.4780713870222515
A4_CLEAN_DEC,fga,WF,VSIG,6,295,3.047014960396848,2.8930286475543268,2.3883223020199154
A4_CLEAN_DEC,fga,WF,VSIG,7,294,3.0969602114419565,3.092023253186077,2.7523405497513584
A4_CLEAN_DEC,fga,WF,VSIG,8,295,3.146026210737906,3.472294613199161,2.8716377062692615
A4_CLEAN_DEC,fga,WF,VSIG,9,294,3.1897800286493294,3.2338728606585176,2.799264822334523
A4_CLEAN_DEC,fga,WF,VSIG,10,295,3.271270493485975,3.354756020472516,2.977867745602815
A4_CLEAN_DEC,fga,WF,VALL,1,294,1.9552181374429949,2.5430485013461523,2.142273904873282
A4_CLEAN_DEC,fga,WF,VALL,2,295,2.473437822915424,2.626133914182042,2.2717995597465652
A4_CLEAN_DEC,fga,WF,VALL,3,294,2.6328785637437413,2.595726171398262,2.254229493110838
A4_CLEAN_DEC,fga,WF,VALL,4,295,2.762109067732723,2.722240389479223,2.3257102133481187
A4_CLEAN_DEC,fga,WF,VALL,5,294,2.8662649212539257,2.7074083820389507,2.1779225170989713
A4_CLEAN_DEC,fga,WF,VALL,6,295,2.966730119358186,2.9336798008937115,2.5329892623276447
A4_CLEAN_DEC,fga,WF,VALL,7,294,3.0700538979125627,3.193406517277399,2.8072532988789742
A4_CLEAN_DEC,fga,WF,VALL,8,295,3.191533225618552,3.166481836668845,2.7389047986768986
