catalog_number,channel,alpha,inner_mae
76,fg3,0.45,3.2660156803427682
76,fg3,0.5,3.266004750472993
76,paint,0.05,3.5859891630940908
76,paint,0.1,3.585950605006079
76,paint,0.15,3.585910544947266
76,paint,0.2,3.585874158747277
76,paint,0.25,3.585850552276755
76,paint,0.3,3.5858415899462095
76,paint,0.35,3.5858493372424873
76,paint,0.4,3.5858615640485687
76,paint,0.45,3.585878048049566
76,paint,0.5,3.5858972974304835
76,ft,0.05,2.079839499792883
76,ft,0.1,2.079854264913734
76,ft,0.15,2.079873247845131
76,ft,0.2,2.07989262851961
76,ft,0.25,2.0799103938319576
