game_id,era,season,game_date,status,n_events,n_dup_rows_dropped,n_conflicting_dup_keys,n_unattributed_pts,ot_periods,rec_home,rec_away,posted_home,posted_away,master_home,master_away,n_checkpoints,n_checkpoint_mismatch,first_mismatch_event,exact_vs_master,posted_matches_master
1022200016,v2,2022,2022-05-13,ok,379,0,0,0,0,73,96,73,96,73,96,85,0,,True,True
1022200017,v2,2022,2022-05-13,ok,490,0,0,0,1,86,92,86,92,86,92,101,0,,True,True
1022200018,v2,2022,2022-05-14,ok,370,0,0,0,0,64,69,64,69,64,69,63,0,,True,True
1022200019,v2,2022,2022-05-14,ok,408,0,0,0,0,77,60,77,60,77,60,82,0,,True,True
1022200020,v2,2022,2022-05-14,ok,374,0,0,0,0,78,82,78,82,78,82,89,0,,True,True
1022200021,v2,2022,2022-05-15,ok,371,0,0,0,0,71,81,71,81,71,81,79,0,,True,True
1022200022,v2,2022,2022-05-15,ok,419,0,0,0,0,79,85,79,85,79,85,91,0,,True,True
1022200023,v2,2022,2022-05-17,ok,399,0,0,0,0,65,92,65,92,65,92,91,0,,True,True
1022200024,v2,2022,2022-05-17,ok,424,0,0,0,0,79,101,79,101,79,101,100,0,,True,True
1022200025,v2,2022,2022-05-17,ok,356,0,0,0,0,68,84,68,84,68,84,78,0,,True,True
1022200026,v2,2022,2022-05-17,ok,369,0,0,0,0,86,74,86,74,86,74,88,0,,True,True
1022200027,v2,2022,2022-05-17,ok,390,0,0,0,0,84,87,84,87,84,87,91,0,,True,True
1022200028,v2,2022,2022-05-18,ok,372,0,0,0,0,74,71,74,71,74,71,72,0,,True,True
1022200029,v2,2022,2022-05-19,ok,381,0,0,0,0,93,87,93,87,93,87,103,0,,True,True
1022200030,v2,2022,2022-05-19,ok,380,0,0,0,0,84,94,84,94,84,94,99,0,,True,True
1022200031,v2,2022,2022-05-20,ok,405,0,0,0,0,94,85,94,85,94,85,97,0,,True,True
1022200032,v2,2022,2022-05-20,ok,390,0,0,0,0,73,78,73,78,73,78,88,0,,True,True
1022200033,v2,2022,2022-05-20,ok,373,0,0,0,0,83,80,83,80,83,80,91,0,,True,True
1022200034,v2,2022,2022-05-21,ok,409,0,0,0,0,100,80,100,80,100,80,99,0,,True,True
1022200035,v2,2022,2022-05-21,ok,399,0,0,0,0,94,78,94,78,94,78,97,0,,True,True
1022200036,v2,2022,2022-05-22,ok,401,0,0,0,0,70,92,70,92,70,92,96,0,,True,True
1022200037,v2,2022,2022-05-22,ok,356,0,0,0,0,73,82,73,82,73,82,80,0,,True,True
1022200038,v2,2022,2022-05-23,ok,349,0,0,0,0,104,76,104,76,104,76,91,0,,True,True
1022200039,v2,2022,2022-05-24,ok,402,0,0,0,0,77,85,77,85,77,85,97,0,,True,True
1022200040,v2,2022,2022-05-24,ok,361,0,0,0,0,70,50,70,50,70,50,63,0,,True,True
1022200041,v2,2022,2022-05-24,ok,431,0,0,0,0,95,90,95,90,95,90,105,0,,True,True
1022200042,v2,2022,2022-05-24,ok,418,0,0,0,0,84,78,84,78,84,78,94,0,,True,True
1022200043,v2,2022,2022-05-25,ok,362,0,0,0,0,99,94,99,94,99,94,105,0,,True,True
1022200044,v2,2022,2022-05-26,ok,376,0,0,0,0,99,68,99,68,99,68,93,0,,True,True
1022200045,v2,2022,2022-05-27,ok,427,0,0,0,0,101,96,101,96,101,96,112,0,,True,True
1022200046,v2,2022,2022-05-27,ok,432,0,0,0,1,79,71,79,71,79,71,85,0,,True,True
1022200047,v2,2022,2022-05-28,ok,430,0,0,0,0,76,83,76,83,76,83,91,0,,True,True
1022200048,v2,2022,2022-05-28,ok,368,0,0,0,0,79,71,79,71,79,71,79,0,,True,True
1022200049,v2,2022,2022-05-29,ok,401,0,0,0,0,81,54,81,54,81,54,71,0,,True,True
1022200050,v2,2022,2022-05-29,ok,353,0,0,0,0,92,61,92,61,92,61,75,0,,True,True
1022200051,v2,2022,2022-05-29,ok,402,0,0,0,0,83,85,83,85,83,85,108,0,,True,True
1022200052,v2,2022,2022-05-31,ok,387,0,0,0,0,75,87,75,87,75,87,82,0,,True,True
1022200053,v2,2022,2022-05-31,ok,372,0,0,0,0,73,70,73,70,73,70,75,0,,True,True
1022200054,v2,2022,2022-05-31,ok,404,0,0,0,0,89,81,89,81,89,81,91,0,,True,True
1022200055,v2,2022,2022-05-31,ok,401,0,0,0,0,93,91,93,91,93,91,101,0,,True,True
1022200056,v2,2022,2022-06-01,ok,405,0,0,0,0,84,76,84,76,84,76,81,0,,True,True
1022200057,v2,2022,2022-06-01,ok,393,0,0,0,0,87,74,87,74,87,74,88,0,,True,True
1022200058,v2,2022,2022-06-02,ok,372,0,0,0,0,90,97,90,97,90,97,100,0,,True,True
1022200059,v2,2022,2022-06-03,ok,374,0,0,0,0,70,74,70,74,70,74,77,0,,True,True
1022200060,v2,2022,2022-06-03,ok,391,0,0,0,0,65,73,65,73,65,73,75,0,,True,True
1022200061,v2,2022,2022-06-03,ok,390,0,0,0,0,88,92,88,92,88,92,105,0,,True,True
