SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,team_min,team_fgm,team_fga,team_fg_pct,team_fg3m,team_fg3a,team_fg3_pct,team_ftm,team_fta,team_ft_pct,team_oreb,team_dreb,team_reb,team_ast,team_stl,team_blk,team_tov,team_pf,team_pts,team_plus_minus,team_video_available,year,season_type
22021,1611661319,LVA,Las Vegas Aces,1022100042,2021-06-03,LVA @ NYL,W,200,32,70,0.457,4,11,0.364,26,29,0.897,7,31,38,21,4,4,11,13,94,12,1,2021,regular
22021,1611661320,LAS,Los Angeles Sparks,1022100044,2021-06-03,LAS vs. IND,W,200,37,66,0.561,14,28,0.5,10,11,0.909,2,25,27,14,9,4,8,18,98,35,1,2021,regular
22021,1611661313,NYL,New York Liberty,1022100042,2021-06-03,NYL vs. LVA,L,200,33,81,0.407,9,30,0.3,7,9,0.778,10,28,38,25,8,4,11,21,82,-12,1,2021,regular
22021,1611661317,PHO,Phoenix Mercury,1022100043,2021-06-03,PHO vs. CHI,W,225,30,70,0.429,5,14,0.357,12,17,0.706,7,31,38,19,4,8,18,16,77,3,1,2021,regular
22021,1611661330,ATL,Atlanta Dream,1022100045,2021-06-04,ATL @ MIN,L,200,30,70,0.429,12,29,0.414,12,20,0.6,7,25,32,20,9,2,19,25,84,-2,1,2021,regular
22021,1611661321,DAL,Dallas Wings,1022100046,2021-06-04,DAL @ SEA,L,225,43,96,0.448,11,28,0.393,5,12,0.417,14,30,44,25,9,4,13,24,102,-3,1,2021,regular
22021,1611661324,MIN,Minnesota Lynx,1022100045,2021-06-04,MIN vs. ATL,W,200,30,57,0.526,8,21,0.381,18,24,0.75,5,26,31,20,9,3,20,21,86,2,1,2021,regular
22021,1611661328,SEA,Seattle Storm,1022100046,2021-06-04,SEA vs. DAL,W,225,36,72,0.5,10,26,0.385,23,29,0.793,5,35,40,31,8,7,16,16,105,3,1,2021,regular
22021,1611661329,CHI,Chicago Sky,1022100048,2021-06-05,CHI @ LAS,L,200,21,62,0.339,5,18,0.278,16,23,0.696,14,29,43,13,6,5,18,22,63,-5,1,2021,regular
22021,1611661323,CON,Connecticut Sun,1022100049,2021-06-05,CON vs. NYL,W,200,31,71,0.437,7,21,0.333,16,19,0.842,14,24,38,21,8,3,11,18,85,21,1,2021,regular
22021,1611661319,LVA,Las Vegas Aces,1022100047,2021-06-05,LVA @ WAS,W,200,33,76,0.434,6,16,0.375,24,27,0.889,8,36,44,20,9,1,12,18,96,3,1,2021,regular
22021,1611661320,LAS,Los Angeles Sparks,1022100048,2021-06-05,LAS vs. CHI,W,200,25,68,0.368,3,19,0.158,15,21,0.714,9,29,38,13,4,6,11,20,68,5,1,2021,regular
22021,1611661313,NYL,New York Liberty,1022100049,2021-06-05,NYL @ CON,L,200,24,55,0.436,11,27,0.407,5,6,0.833,3,19,22,20,5,4,17,22,64,-21,1,2021,regular
22021,1611661322,WAS,Washington Mystics,1022100047,2021-06-05,WAS vs. LVA,L,200,34,77,0.442,11,30,0.367,14,19,0.737,6,29,35,26,8,1,13,23,93,-3,1,2021,regular
22021,1611661330,ATL,Atlanta Dream,1022100050,2021-06-06,ATL @ MIN,L,200,28,64,0.438,10,25,0.4,14,19,0.737,13,20,33,16,7,1,20,22,80,-20,1,2021,regular
22021,1611661321,DAL,Dallas Wings,1022100051,2021-06-06,DAL @ SEA,W,200,25,70,0.357,5,22,0.227,13,13,1.0,9,33,42,13,5,3,14,18,68,1,1,2021,regular
22021,1611661324,MIN,Minnesota Lynx,1022100050,2021-06-06,MIN vs. ATL,W,200,35,68,0.515,11,25,0.44,19,24,0.792,10,22,32,26,12,1,10,20,100,20,1,2021,regular
22021,1611661328,SEA,Seattle Storm,1022100051,2021-06-06,SEA vs. DAL,L,200,21,61,0.344,8,24,0.333,17,23,0.739,4,30,34,16,8,4,11,12,67,-1,1,2021,regular
22021,1611661321,DAL,Dallas Wings,1022100055,2021-06-08,DAL @ PHO,W,200,32,75,0.427,10,26,0.385,11,13,0.846,12,29,41,20,5,4,9,22,85,4,1,2021,regular
22021,1611661324,MIN,Minnesota Lynx,1022100052,2021-06-08,MIN @ WAS,L,200,26,64,0.406,6,22,0.273,23,25,0.92,5,31,36,19,8,4,21,25,81,-4,1,2021,regular
22021,1611661317,PHO,Phoenix Mercury,1022100055,2021-06-08,PHO vs. DAL,L,200,29,70,0.414,5,25,0.2,18,23,0.783,11,25,36,20,3,7,8,10,81,-4,1,2021,regular
22021,1611661322,WAS,Washington Mystics,1022100052,2021-06-08,WAS vs. MIN,W,200,29,68,0.426,6,20,0.3,21,22,0.955,4,25,29,20,13,6,12,19,85,4,1,2021,regular
22021,1611661330,ATL,Atlanta Dream,1022100053,2021-06-09,ATL vs. SEA,L,200,29,82,0.354,3,26,0.115,10,13,0.769,17,26,43,18,9,2,14,18,71,-24,1,2021,regular
22021,1611661329,CHI,Chicago Sky,1022100054,2021-06-09,CHI vs. IND,W,200,32,71,0.451,9,23,0.391,19,21,0.905,12,29,41,24,7,7,11,17,92,16,1,2021,regular
22021,1611661325,IND,Indiana Fever,1022100054,2021-06-09,IND @ CHI,L,200,30,73,0.411,6,17,0.353,10,10,1.0,11,26,37,18,8,6,16,20,76,-16,1,2021,regular
22021,1611661328,SEA,Seattle Storm,1022100053,2021-06-09,SEA @ ATL,W,200,35,64,0.547,12,22,0.545,13,16,0.813,3,28,31,27,8,9,13,16,95,24,1,2021,regular
22021,1611661320,LAS,Los Angeles Sparks,1022100056,2021-06-10,LAS @ WAS,L,200,22,67,0.328,8,23,0.348,19,28,0.679,9,22,31,13,6,4,12,19,71,-18,1,2021,regular
22021,1611661322,WAS,Washington Mystics,1022100056,2021-06-10,WAS vs. LAS,W,200,30,71,0.423,11,26,0.423,18,22,0.818,12,31,43,18,4,5,13,25,89,18,1,2021,regular
22021,1611661330,ATL,Atlanta Dream,1022100057,2021-06-11,ATL vs. SEA,L,200,26,72,0.361,4,18,0.222,19,22,0.864,8,25,33,14,5,2,7,15,75,-11,1,2021,regular
22021,1611661321,DAL,Dallas Wings,1022100058,2021-06-11,DAL @ PHO,W,200,30,72,0.417,6,22,0.273,11,12,0.917,12,28,40,16,6,4,14,16,77,18,1,2021,regular
22021,1611661317,PHO,Phoenix Mercury,1022100058,2021-06-11,PHO vs. DAL,L,200,22,63,0.349,3,20,0.15,12,16,0.75,6,23,29,16,4,7,13,14,59,-18,1,2021,regular
22021,1611661328,SEA,Seattle Storm,1022100057,2021-06-11,SEA @ ATL,W,200,31,61,0.508,10,21,0.476,14,16,0.875,5,36,41,22,2,0,15,20,86,11,1,2021,regular
22021,1611661329,CHI,Chicago Sky,1022100059,2021-06-12,CHI @ IND,W,200,27,63,0.429,8,18,0.444,21,25,0.84,5,22,27,16,7,4,16,24,83,4,1,2021,regular
22021,1611661325,IND,Indiana Fever,1022100059,2021-06-12,IND vs. CHI,L,200,30,62,0.484,4,11,0.364,15,22,0.682,10,21,31,13,10,5,17,21,79,-4,1,2021,regular
22021,1611661320,LAS,Los Angeles Sparks,1022100060,2021-06-12,LAS @ MIN,L,200,23,70,0.329,8,23,0.348,10,12,0.833,9,18,27,15,9,5,13,18,64,-16,1,2021,regular
22021,1611661324,MIN,Minnesota Lynx,1022100060,2021-06-12,MIN vs. LAS,W,200,25,58,0.431,11,22,0.5,19,21,0.905,9,34,43,20,8,5,22,15,80,16,1,2021,regular
22021,1611661330,ATL,Atlanta Dream,1022100062,2021-06-13,ATL vs. WAS,W,200,36,71,0.507,13,29,0.448,16,21,0.762,10,23,33,20,10,2,13,22,101,23,1,2021,regular
22021,1611661323,CON,Connecticut Sun,1022100061,2021-06-13,CON vs. SEA,L,200,27,60,0.45,6,15,0.4,6,8,0.75,5,26,31,16,4,2,19,14,66,-23,1,2021,regular
22021,1611661321,DAL,Dallas Wings,1022100063,2021-06-13,DAL @ LVA,L,200,25,77,0.325,5,24,0.208,23,27,0.852,14,22,36,17,11,2,11,26,78,-7,1,2021,regular
